,ID,SN
0,z_6_flares_22_gal_003_alma.fits,5.04
1,z_6_flares_16_gal_055_alma.fits,3.53
2,z_6_flares_03_gal_038_alma.fits,4.6
3,z_6_flares_15_gal_096_alma.fits,3.44
4,z_5_flares_02_gal_050_alma.fits,6.63
5,z_6_flares_22_gal_002_alma.fits,3.51
6,z_5_flares_06_gal_146_alma.fits,6.18
7,z_5_flares_08_gal_072_alma.fits,11.76
8,z_5_flares_08_gal_152_alma.fits,8.23
9,z_5_flares_02_gal_074_alma.fits,5.56
10,z_6_flares_10_gal_055_alma.fits,5.65
11,z_6_flares_10_gal_026_alma.fits,5.3
12,z_5_flares_37_gal_005_alma.fits,7.4
13,z_5_flares_01_gal_183_alma.fits,3.77
14,z_5_flares_05_gal_042_alma.fits,3.21
15,z_6_flares_03_gal_025_alma.fits,4.1
16,z_5_flares_07_gal_155_alma.fits,4.58
17,z_5_flares_11_gal_100_alma.fits,7.8
18,z_8_flares_09_gal_018_alma.fits,3.56
19,z_5_flares_17_gal_047_alma.fits,5.45
20,z_5_flares_05_gal_152_alma.fits,14.28
21,z_7_flares_09_gal_016_alma.fits,5.89
22,z_5_flares_10_gal_121_alma.fits,4.79
23,z_7_flares_13_gal_010_alma.fits,4.32
24,z_5_flares_21_gal_041_alma.fits,7.32
25,z_5_flares_13_gal_094_alma.fits,4.55
26,z_5_flares_03_gal_132_alma.fits,8.17
27,z_6_flares_02_gal_043_alma.fits,3.76
28,z_6_flares_10_gal_079_alma.fits,5.05
29,z_6_flares_14_gal_060_alma.fits,3.6
30,z_5_flares_14_gal_018_alma.fits,9.2
31,z_5_flares_00_gal_187_alma.fits,13.94
32,z_5_flares_09_gal_087_alma.fits,3.63
33,z_5_flares_12_gal_058_alma.fits,7.07
34,z_6_flares_04_gal_094_alma.fits,4.54
35,z_5_flares_11_gal_103_alma.fits,4.64
36,z_5_flares_06_gal_084_alma.fits,12.08
37,z_5_flares_18_gal_044_alma.fits,5.65
38,z_8_flares_00_gal_011_alma.fits,3.94
39,z_5_flares_11_gal_111_alma.fits,4.02
40,z_6_flares_08_gal_013_alma.fits,7.2
41,z_5_flares_17_gal_104_alma.fits,13.34
42,z_6_flares_10_gal_040_alma.fits,3.07
43,z_5_flares_07_gal_060_alma.fits,10.14
44,z_5_flares_13_gal_100_alma.fits,9.44
45,z_5_flares_15_gal_183_alma.fits,7.98
46,z_5_flares_09_gal_074_alma.fits,6.9
47,z_5_flares_11_gal_109_alma.fits,5.33
48,z_6_flares_14_gal_024_alma.fits,5.36
49,z_7_flares_17_gal_016_alma.fits,3.41
50,z_6_flares_11_gal_069_alma.fits,5.76
51,z_6_flares_08_gal_085_alma.fits,5.04
52,z_5_flares_06_gal_124_alma.fits,11.12
53,z_5_flares_13_gal_036_alma.fits,13.52
54,z_6_flares_08_gal_079_alma.fits,4.43
55,z_5_flares_07_gal_100_alma.fits,5.41
56,z_5_flares_07_gal_033_alma.fits,5.09
57,z_8_flares_09_gal_014_alma.fits,6.31
58,z_5_flares_06_gal_083_alma.fits,7.06
59,z_6_flares_09_gal_006_alma.fits,5.18
60,z_5_flares_09_gal_205_alma.fits,14.51
61,z_5_flares_10_gal_072_alma.fits,7.63
62,z_6_flares_05_gal_066_alma.fits,9.73
63,z_8_flares_19_gal_004_alma.fits,5.06
64,z_5_flares_26_gal_007_alma.fits,13.97
65,z_5_flares_00_gal_137_alma.fits,10.4
66,z_5_flares_16_gal_043_alma.fits,9.03
67,z_5_flares_13_gal_172_alma.fits,13.14
68,z_7_flares_19_gal_010_alma.fits,3.59
69,z_5_flares_08_gal_102_alma.fits,12.24
70,z_6_flares_08_gal_035_alma.fits,13.04
71,z_6_flares_05_gal_005_alma.fits,3.32
72,z_6_flares_06_gal_038_alma.fits,4.88
73,z_5_flares_16_gal_113_alma.fits,3.88
74,z_5_flares_15_gal_198_alma.fits,15.56
75,z_5_flares_05_gal_022_alma.fits,4.5
76,z_6_flares_22_gal_000_alma.fits,8.84
77,z_5_flares_25_gal_003_alma.fits,7.56
78,z_6_flares_07_gal_031_alma.fits,8.77
79,z_6_flares_15_gal_036_alma.fits,3.99
80,z_6_flares_09_gal_083_alma.fits,10.9
81,z_6_flares_14_gal_103_alma.fits,4.37
82,z_5_flares_02_gal_183_alma.fits,11.62
83,z_6_flares_04_gal_090_alma.fits,4.55
84,z_6_flares_13_gal_054_alma.fits,3.2
85,z_5_flares_15_gal_153_alma.fits,15.42
86,z_6_flares_06_gal_009_alma.fits,3.88
87,z_5_flares_06_gal_134_alma.fits,11.07
88,z_8_flares_03_gal_013_alma.fits,5.03
89,z_6_flares_13_gal_090_alma.fits,4.65
90,z_7_flares_08_gal_018_alma.fits,3.78
91,z_5_flares_06_gal_002_alma.fits,6.99
92,z_5_flares_04_gal_134_alma.fits,5.95
93,z_6_flares_11_gal_034_alma.fits,7.68
94,z_5_flares_10_gal_073_alma.fits,11.99
95,z_5_flares_03_gal_077_alma.fits,11.91
96,z_6_flares_15_gal_041_alma.fits,4.5
97,z_5_flares_06_gal_175_alma.fits,8.68
98,z_5_flares_15_gal_037_alma.fits,3.61
99,z_8_flares_02_gal_016_alma.fits,3.96
100,z_5_flares_10_gal_120_alma.fits,4.84
101,z_5_flares_09_gal_139_alma.fits,3.55
102,z_5_flares_00_gal_131_alma.fits,6.58
103,z_5_flares_15_gal_134_alma.fits,12.82
104,z_5_flares_16_gal_012_alma.fits,8.63
105,z_5_flares_13_gal_043_alma.fits,6.03
106,z_5_flares_04_gal_159_alma.fits,9.28
107,z_5_flares_09_gal_009_alma.fits,6.79
108,z_6_flares_16_gal_053_alma.fits,3.52
109,z_10_flares_09_gal_000_alma.fits,3.15
110,z_5_flares_07_gal_172_alma.fits,7.12
111,z_5_flares_23_gal_011_alma.fits,4.12
112,z_6_flares_08_gal_109_alma.fits,3.43
113,z_6_flares_02_gal_028_alma.fits,4.97
114,z_5_flares_13_gal_182_alma.fits,14.87
115,z_5_flares_05_gal_057_alma.fits,6.52
116,z_5_flares_13_gal_040_alma.fits,10.48
117,z_5_flares_18_gal_070_alma.fits,15.33
118,z_5_flares_21_gal_039_alma.fits,13.26
119,z_6_flares_02_gal_065_alma.fits,5.95
120,z_6_flares_15_gal_045_alma.fits,14.08
121,z_6_flares_02_gal_044_alma.fits,4.69
122,z_5_flares_03_gal_148_alma.fits,7.0
123,z_5_flares_16_gal_056_alma.fits,5.74
124,z_5_flares_10_gal_133_alma.fits,7.77
125,z_5_flares_13_gal_151_alma.fits,15.07
126,z_5_flares_10_gal_009_alma.fits,6.21
127,z_8_flares_08_gal_021_alma.fits,11.74
128,z_7_flares_03_gal_009_alma.fits,3.46
129,z_6_flares_08_gal_103_alma.fits,5.25
130,z_5_flares_00_gal_102_alma.fits,7.62
131,z_6_flares_10_gal_016_alma.fits,3.57
132,z_6_flares_09_gal_024_alma.fits,6.4
133,z_6_flares_06_gal_057_alma.fits,4.15
134,z_6_flares_07_gal_073_alma.fits,3.16
135,z_5_flares_14_gal_078_alma.fits,4.92
136,z_5_flares_15_gal_087_alma.fits,7.17
137,z_5_flares_33_gal_007_alma.fits,15.93
138,z_5_flares_05_gal_141_alma.fits,12.73
139,z_5_flares_03_gal_137_alma.fits,15.36
140,z_7_flares_21_gal_000_alma.fits,7.19
141,z_5_flares_17_gal_031_alma.fits,11.96
